68,3,593
64,3,645
84,4,800
59,2,450
76,3,915
85,2,790
55,2,700
82,3,879
81,3,730
41,2,600
55,2,550
126,4,1150
90,3,698
70,3,690
101,3,1010
81,3,1198
50,2,590
49,2,534
64,2,570
70,3,559
99,3,1340
68,3,584
67,3,607
74,3,690
47,4,550
48,2,456
60,2,510
48,2,650
69,2,788
94,3,1150
114,4,900
69,2,980
64,3,700
70,3,735
65,2,920
54,2,550
66,2,620
77,3,700
49,2,810
98,3,1365
54,2,707
54,2,711
136,4,1100
80,3,921
54,2,540
97,4,1056
79,2,1335
74,2,895
95,3,850
70,2,720
100,4,1100
67,3,940
61,3,840
171,5,2100
95,3,995
69,2,998
70,2,929
110,5,1100
55,2,800
